Region,GVP,GVP-D
Adygey,82583.7,183386.5
Altay,492138.9,206712.2
Amur,276877.1,342762.6
Arkhangel'sk,399522.7,351973
Astrakhan',320735,314459.6
Bashkortostan,1317431.4,323572
Belgorod,686357,443086.2
Bryansk,269933.3,219575.8
Buryat,204156.2,208239.8
Chechnya,160503.2,116119.8
Chelyabinsk,1170313.5,334471.3
Chukot,63910.2,1269343.9
Chuvash,250408.9,202375.2
City of St. Petersburg,3023972.3,580562.9
Dagestan,559673.1,186370.4
Gorno-Altay,41776.8,194825.4
Ingush,54330.4,116007.9
Irkutsk,1013542.3,419885.1
Ivanovo,171019.5,165496.3
Kabardin-Balkar,125393.1,145555.1
Kaliningrad,328760,337989.9
Kalmyk,47291.7,169111.1
Kaluga,334825.7,331468.3
Kamchatka,171900.1,542797.4
Karachay-Cherkess,67355.2,143789.5
Karelia,211133.6,334493.5
Kemerovo,842618.9,309637.3
Khabarovsk,571524.8,427651
Khakass,171663.9,320095.8
Khanty-Mansiy,3136831.9,1937015.5
Kirov,276506.4,212548.3
Komi,523211.2,607941.9
Kostroma,157705.7,241539
Krasnodar,1946759.7,355017.1
Krasnoyarsk,1618166,565272.3
Kurgan,179711.8,207554.2
Kursk,335300.3,299723.7
Leningrad,853584.6,480298
Lipetsk,457558,395476.5
Maga Buryatdan,124596.9,846400.3
Mariy-El,165531,241070.5
Mordovia,187397.3,231878.3
Moscow City,13532598,1103453.3
Moskva,3213873.1,441778.2
Murmansk,390390,510830
Nenets,217605.3,4990259.7
Nizhegorod,1069280.2,327474.2
North Ossetia,127543.9,181039.9
Novgorod,240362.7,389441.8
Novosibirsk,980850.5,356086.5
Omsk,617184.4,311973.3
Orel,205763.5,269862.2
Orenburg,774859,387829.7
Penza,336489.8,248853.4
Perm',1048018.6,397621.4
Primor'ye,716650,371098.6
Pskov,132841.8,204768.6
Rostov,1171784.1,276426.8
Ryazan',316080.1,279032.6
Sakhalin,999099.6,2047998.4
Sakha,749987.5,782629.4
Samara,1240319.8,386473.7
Saratov,617497.6,247963.4
Smolensk,257098.9,267334.9
Stavropol',609531.9,217648.4
Sverdlovsk,1779446.4,411077.3
Tambov,344879.6,326479.9
Tatarstan,1833214.5,474694.5
Tomsk,473693.1,440395.6
Tula,476649.3,315660.1
Tuva,47287.3,150258.3
Tver',341202.5,260478.4
Tyumen',900748.8,624683.2
Udmurt,497685,328003.1
Ul'yanovsk,301424.7,239209.8
Vladimir,357913.1,255398.6
Volgograd,735293.1,288161.9
Vologda,468763.9,394135.5
Voronezh,823133.6,352926
Yamal-Nenets,1813393.2,3376613.1
Yaroslavl',432019.9,339699.5
Yevrey,44873.3,268310.6
Zabaykal'ye,248847.6,229303.6
